business_status,formatted_address,name,price_level,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,lat,lng,census_code
OPERATIONAL,"7600 N Braddock Ave, Pittsburgh, PA 15208",The Dream BBQ,NA,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",199,40.4529362,-79.89101169999999,40.45430497989272,-79.88974697010727,40.45160532010728,-79.89244662989272,40.4529362,-79.8910117,420031308003
OPERATIONAL,"1307 Federal St, Pittsburgh, PA 15212",THE LUNCH BOX,NA,5,"['restaurant', 'food', 'point_of_interest', 'establishment']",7,40.4572118,-80.00781359999999,40.45861562989271,-80.00617167010728,40.45591597010727,-80.00887132989271,40.4572118,-80.0078136,420035651001
OPERATIONAL,"111 Meyran Ave, Pittsburgh, PA 15213",Natural Choice,NA,4,"['hair_care', 'health', 'point_of_interest', 'establishment']",111,40.4410946,-79.9587647,40.44240672989273,-79.95746882010727,40.43970707010728,-79.96016847989272,40.4410946,-79.9587647,420030405001
OPERATIONAL,"715 Dorseyville Rd, Pittsburgh, PA 15238",The Spot Pittsburgh,NA,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",62,40.546082,-79.9015871,40.54736727989272,-79.90008312010727,40.54466762010728,-79.90278277989272,40.546082,-79.9015871,420034150021
OPERATIONAL,"1130 Perry Hwy Suite 106, Pittsburgh, PA 15237",The Tiny Bookstore,NA,5,"['book_store', 'point_of_interest', 'store', 'establishment']",5,40.5477169,-80.0355297,40.54903597989272,-80.03432812010729,40.54633632010727,-80.03702777989272,40.5477169,-80.0355297,420034294001
OPERATIONAL,"1731 Murray Ave, Pittsburgh, PA 15217",The Warehouse Pub & Grub,NA,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",126,40.43707149999999,-79.9228024,40.43841967989272,-79.92151182010727,40.43572002010728,-79.92421147989272,40.4370715,-79.9228024,420031408002
OPERATIONAL,"105 Overland Ave, Duquesne, PA 15110",Third Day Soaps Garden,NA,0,"['point_of_interest', 'establishment']",0,40.3791241,-79.8560966,40.38055577989272,-79.85479462010727,40.37785612010728,-79.85749427989272,40.3791241,-79.8560966,420034867001
OPERATIONAL,"8000 Frankstown Ave, Pittsburgh, PA 15221",Three Generations Barbershop,NA,4.7,"['hair_care', 'health', 'point_of_interest', 'establishment']",70,40.455157,-79.8845599,40.45660912989272,-79.88325227010728,40.45390947010728,-79.88595192989271,40.455157,-79.8845599,420031306001
OPERATIONAL,"126 S Erie St, Mercer, PA 16137",Tracy's Place,NA,3,"['beauty_salon', 'point_of_interest', 'establishment']",2,41.2260699,-80.2401774,41.22742087989273,-80.23869717010729,41.22472122010728,-80.24139682989272,41.2260699,-80.2401774,420850326021
OPERATIONAL,"5474 Campbells Run Rd, Pittsburgh, PA 15205",True Pizzeria & Lounge,1,4.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",213,40.4462418,-80.1579754,40.44757747989272,-80.15651507010728,40.44487782010728,-80.15921472989272,40.4462418,-80.1579754,420034592013
OPERATIONAL,"709 Liberty Ave, Pittsburgh, PA 15222",UBrokeWEFIX,NA,0,"['point_of_interest', 'establishment']",0,40.4426859,-79.999545,40.443963829892724,-79.99816177010727,40.44126417010728,-80.00086142989272,40.4426859,-79.999545,NA
OPERATIONAL,"1901 Centre Ave, Pittsburgh, PA 15219",Ujamaa Collective,NA,4.9,"['point_of_interest', 'store', 'establishment']",26,40.443338,-79.9808783,40.44459657989272,-79.97961442010728,40.44189692010728,-79.98231407989272,40.443338,-79.9808783,420030305001
OPERATIONAL,"6520 Saltsburg Rd, Penn Hills, PA 15235",Uncle Redd's BBQ,1,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",46,40.48199049999999,-79.80916549999999,40.48345602989272,-79.80767972010727,40.48075637010727,-79.81037937989272,40.4819905,-79.8091655,420035235011
OPERATIONAL,"437 Turrett St, Pittsburgh, PA 15206",Urban Academy,NA,3,"['school', 'point_of_interest', 'establishment']",24,40.4624348,-79.9098358,40.46366587989272,-79.90835097010728,40.46096622010727,-79.91105062989271,40.4624348,-79.9098358,420031209001
OPERATIONAL,"2625 Penn Ave, Pittsburgh, PA 15222",V Lounge,NA,0,"['bar', 'point_of_interest', 'establishment']",0,40.4555292,-79.9780067,40.45679552989272,-79.97655747010728,40.45409587010727,-79.97925712989272,40.4555292,-79.9780067,420030203001
OPERATIONAL,"6 N Balph Ave, Bellevue, PA 15202",Vibe Bellevue,NA,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",67,40.4957972,-80.0553077,40.49716307989272,-80.05399737010728,40.49446342010727,-80.05669702989272,40.4957972,-80.0553077,420034315002
